Name	IDNUM	Age	Balance
====	=====	===	=======
Person-0828	1003103	92	52019.64
Person-0001	1016807	74	16651.90
Person-0186	1020209	33	85106.56
Person-0527	1022580	71	154839.30
Person-0094	1024770	69	38959.80
Person-0044	1041720	12	18221.23
Person-0092	1043411	69	103991.82
Person-0377	1045558	21	196482.56
Person-0564	1046584	54	149150.48
Person-0904	1053835	12	2290.37
Person-0602	1060835	61	81484.93
Person-0215	1063182	32	33228.18
Person-0297	1069709	36	115435.94
Person-0008	1073246	24	198612.20
Person-0432	1081761	6	108478.36
Person-0300	1088680	53	180500.70
Person-0641	1104653	52	88563.33
Person-0492	1116864	81	120408.12
Person-0308	1125909	84	69704.60
Person-0654	1126403	16	32378.87
Person-0660	1127634	35	75888.85
Person-0669	1135081	32	93584.38
Person-0695	1135685	43	82729.44
Person-0160	1141854	62	37480.56
Person-0480	1184535	78	165534.67
Person-0807	1184790	82	68550.56
Person-0150	1188222	53	185687.66
Person-0232	1189640	74	170163.83
Person-0236	1195557	94	120209.83
Person-0936	1213726	11	186302.67
Person-0344	1230258	76	57138.79
Person-0210	1230597	58	57262.48
Person-0156	1234247	57	4159.23
Person-0386	1246343	1	183971.23
Person-0908	1255219	88	179926.09
Person-0762	1256244	57	58639.27
Person-0534	1267360	48	182243.42
Person-0304	1280502	94	79353.82
Person-0970	1291948	49	195998.84
Person-0633	1301637	84	192725.38
Person-0271	1303077	79	147519.94
Person-0955	1308437	24	60335.28
Person-0768	1312506	18	14752.16
Person-0923	1318586	26	139942.80
Person-0928	1326935	95	60513.19
Person-0797	1329005	29	160435.41
Person-0435	1336090	43	14031.11
Person-0167	1340756	13	197181.06
Person-0286	1348557	46	53199.92
Person-0514	1352150	41	120614.53
Person-0603	1352837	49	170794.53
Person-0611	1352886	75	41766.17
Person-0274	1356536	55	10657.65
Person-0898	1358716	31	138651.31
Person-0544	1370137	57	24570.45
Person-0102	1400553	74	70283.62
Person-0559	1405248	39	1027.43
Person-0193	1446975	72	168698.38
Person-0919	1460370	29	190391.38
Person-0314	1474480	37	99913.89
Person-0163	1490341	72	26426.87
Person-0546	1493675	95	188794.05
Person-0621	1497232	85	111177.51
Person-0784	1514950	21	121300.07
Person-0221	1515303	47	73341.05
Person-0731	1516305	36	176195.19
Person-0429	1536756	76	13283.51
Person-0992	1547270	59	119932.41
Person-0318	1555079	96	100097.59
Person-0805	1557820	5	7144.69
Person-0279	1558974	48	156999.70
Person-0801	1560231	49	71127.22
Person-0358	1564881	40	157067.70
Person-0552	1567877	82	117531.68
Person-0417	1576134	59	17872.10
Person-0099	1576718	6	92106.65
Person-0810	1581067	40	67481.61
Person-0725	1583283	68	178017.66
Person-0631	1606184	22	9228.27
Person-0382	1626419	86	187900.72
Person-0237	1629231	37	162737.05
Person-0327	1640033	17	35517.22
Person-0260	1642638	35	28099.76
Person-0561	1647450	58	62615.40
Person-0478	1655965	31	92134.30
Person-0541	1656781	41	163647.80
Person-0309	1660944	19	195310.91
Person-0576	1666461	4	104589.78
Person-0080	1668501	38	62328.82
Person-0064	1673648	73	183729.22
Person-0412	1680771	42	1833.30
Person-0526	1700947	15	83397.62
Person-0876	1706230	29	189819.20
Person-0353	1707457	39	128538.39
Person-0687	1711421	57	90226.54
Person-0427	1723326	1	60491.31
Person-0104	1733644	41	111775.58
Person-0643	1738475	5	174917.48
Person-0328	1754101	4	60168.84
Person-0184	1755739	6	99324.03
Person-0944	1757967	64	128165.91
Person-0506	1771151	41	167540.72
Person-0560	1786487	4	181002.91
Person-0330	1794236	60	85464.41
Person-0785	1795806	34	132091.06
Person-0704	1797759	87	117753.32
Person-0124	1799208	69	63144.60
Person-0939	1800015	75	97712.46
Person-0463	1800518	15	105147.36
Person-0812	1800930	35	186499.09
Person-0438	1818197	41	21559.28
Person-0086	1823219	70	79891.46
Person-0622	1825753	38	198015.48
Person-0663	1848968	25	109196.70
Person-0266	1884247	36	80762.53
Person-0756	1885630	34	149892.52
